#rank      cc Fish-z  rel-z        x        y        z    a11    a12    a13    a21    a22    a23    a31    a32    a33
407     0.705  0.878 98.125   30.834   -5.542  -27.087 -0.632  0.548 -0.548 -0.548  0.184  0.816  0.548  0.816  0.184
408     0.705  0.878 98.114  -15.166   24.458  -25.087 -0.896  0.362  0.258 -0.362 -0.258 -0.896 -0.258 -0.896  0.362
409     0.705  0.878 98.110   10.834  -57.542    2.913 -0.632 -0.548 -0.548 -0.548 -0.184  0.816 -0.548  0.816 -0.184
410     0.705  0.878 98.097  -51.166   26.458    5.913 -0.258  0.362 -0.896 -0.362 -0.896 -0.258 -0.896  0.258  0.362
411     0.705  0.877 98.051   61.834  -30.542   12.913 -0.816 -0.184 -0.548 -0.548  0.548  0.632  0.184  0.816 -0.548
412     0.705  0.877 98.041  -34.166  -19.542   19.913 -0.632 -0.548  0.548  0.548  0.184  0.816 -0.548  0.816  0.184
413     0.705  0.877 98.008  -58.166  -37.542   15.913  0.362  0.258  0.896 -0.258 -0.896  0.362  0.896 -0.362 -0.258
414     0.705  0.877 98.008   48.834   32.458   17.913 -1.000  0.000  0.000  0.000  0.604 -0.797 -0.000 -0.797 -0.604
415     0.705  0.877 98.006   39.834   32.458   10.913 -1.000  0.000  0.000  0.000  0.604 -0.797 -0.000 -0.797 -0.604
416     0.705  0.877 97.997  -10.166  -53.542   10.913 -0.816  0.184  0.548  0.548  0.548  0.632 -0.184  0.816 -0.548
417     0.705  0.877 97.982  -52.166   17.458   20.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
418     0.705  0.877 97.982  -41.166  -37.542   25.913  0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000 -0.604
419     0.705  0.876 97.951   -2.166  -22.542   37.913 -0.896 -0.258  0.362  0.258  0.362  0.896 -0.362  0.896 -0.258
420     0.705  0.876 97.938   52.834   18.458   24.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
421     0.704  0.876 97.888   52.834  -18.542   13.913 -1.000  0.000  0.000  0.000 -0.000  1.000  0.000  1.000 -0.000
422     0.704  0.876 97.864   50.834  -29.542    1.913 -0.548  0.184 -0.816 -0.548 -0.816  0.184 -0.632  0.548  0.548
423     0.704  0.876 97.863   37.834  -12.542   31.913 -0.632  0.548 -0.548  0.548 -0.184 -0.816 -0.548 -0.816 -0.184
424     0.704  0.876 97.856  -42.166   31.458   18.913  0.258  0.362  0.896  0.362 -0.896  0.258  0.896  0.258 -0.362
425     0.704  0.876 97.851   48.834  -21.542    2.913 -0.000  0.000 -1.000  0.000 -1.000 -0.000 -1.000  0.000 -0.000
426     0.704  0.876 97.850  -28.166  -34.542   15.913 -0.816 -0.548  0.184 -0.184  0.548  0.816 -0.548  0.632 -0.548
427     0.704  0.875 97.838   24.834   25.458  -20.087 -0.896  0.258 -0.362  0.258 -0.362 -0.896 -0.362 -0.896  0.258
428     0.704  0.875 97.833  -36.166  -36.542    5.913 -0.362 -0.258 -0.896 -0.258 -0.896  0.362 -0.896  0.362  0.258
429     0.704  0.875 97.809    5.834   51.458   14.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
430     0.704  0.875 97.804   -8.166   57.458   -2.087 -0.548  0.548 -0.632 -0.184 -0.816 -0.548 -0.816 -0.184  0.548
431     0.704  0.875 97.777  -44.166   14.458   30.913 -0.548 -0.184  0.816  0.548 -0.816  0.184  0.632  0.548  0.548
432     0.704  0.875 97.745   -5.166   46.458   29.913 -0.632  0.548 -0.548  0.548 -0.184 -0.816 -0.548 -0.816 -0.184
433     0.704  0.874 97.717  -59.166   20.458   12.913 -0.896  0.258 -0.362  0.258 -0.362 -0.896 -0.362 -0.896  0.258
434     0.704  0.874 97.703    8.834  -48.542   17.913  0.184 -0.548 -0.816  0.548 -0.632  0.548 -0.816 -0.548  0.184
435     0.703  0.874 97.693    5.834  -54.542    1.913 -0.632  0.548 -0.548 -0.548  0.184  0.816  0.548  0.816  0.184
436     0.703  0.874 97.667  -50.166   22.458   15.913 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
437     0.703  0.874 97.661   -8.166  -54.542   25.913 -0.896 -0.362  0.258 -0.362  0.258 -0.896  0.258 -0.896 -0.362
438     0.703  0.874 97.646   25.834   33.458  -14.087 -1.000  0.000  0.000  0.000 -0.000 -1.000 -0.000 -1.000 -0.000
439     0.703  0.873 97.607    6.834  -25.542   44.913 -0.816 -0.184 -0.548 -0.548  0.548  0.632  0.184  0.816 -0.548
440     0.703  0.873 97.590    9.834  -46.542   21.913  0.548  0.184 -0.816  0.548 -0.816  0.184 -0.632 -0.548 -0.548
441     0.703  0.873 97.590   53.834   33.458    8.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
442     0.703  0.873 97.590    5.834  -47.542   17.913 -1.000  0.000  0.000  0.000 -0.000 -1.000 -0.000 -1.000 -0.000
443     0.703  0.873 97.566   23.834   25.458  -21.087 -0.896  0.258 -0.362  0.258 -0.362 -0.896 -0.362 -0.896  0.258
444     0.703  0.872 97.485   48.834  -27.542   19.913 -0.896 -0.258 -0.362 -0.258 -0.362  0.896 -0.362  0.896  0.258
445     0.703  0.872 97.483    7.834  -49.542   16.913  0.184 -0.548 -0.816  0.548 -0.632  0.548 -0.816 -0.548  0.184
446     0.702  0.872 97.419    3.834  -66.542   13.913  0.184 -0.548 -0.816  0.548 -0.632  0.548 -0.816 -0.548  0.184
447     0.702  0.872 97.415   -8.166   61.458   19.913 -0.896 -0.258 -0.362  0.258  0.362 -0.896  0.362 -0.896 -0.258
448     0.702  0.872 97.404   25.834   -8.542   42.913 -1.000  0.000  0.000  0.000  0.604  0.797  0.000  0.797 -0.604
449     0.702  0.871 97.358   -3.166   57.458    3.913 -0.896  0.258  0.362 -0.258  0.362 -0.896 -0.362 -0.896 -0.258
450     0.702  0.871 97.328   12.834  -52.542   21.913  0.548  0.548  0.632  0.184 -0.816  0.548  0.816 -0.184 -0.548
451     0.702  0.871 97.310   43.834   34.458    2.913 -0.362 -0.258 -0.896 -0.258 -0.896  0.362 -0.896  0.362  0.258
452     0.702  0.871 97.309   35.834  -16.542   21.913 -0.797  0.000 -0.604  0.604  0.000 -0.797  0.000 -1.000  0.000
453     0.702  0.870 97.275   -5.166   29.458  -23.087 -0.896 -0.258  0.362 -0.258 -0.362 -0.896  0.362 -0.896  0.258
454     0.701  0.870 97.204  -42.166  -43.542   18.913  0.548 -0.184  0.816 -0.548 -0.816  0.184  0.632 -0.548 -0.548
455     0.701  0.870 97.173   34.834   30.458   26.913 -0.896 -0.362  0.258 -0.362  0.258 -0.896  0.258 -0.896 -0.362
456     0.701  0.869 97.170   47.834   38.458   12.913 -0.548  0.548 -0.632 -0.184 -0.816 -0.548 -0.816 -0.184  0.548
457     0.701  0.869 97.168    5.834  -54.542   -1.087 -0.816  0.184 -0.548 -0.548 -0.548  0.632 -0.184  0.816  0.548
458     0.701  0.869 97.166   41.834   31.458    9.913 -0.896  0.362  0.258 -0.362 -0.258 -0.896 -0.258 -0.896  0.362
459     0.701  0.869 97.120   51.834   21.458    8.913 -0.816  0.184 -0.548  0.548  0.548 -0.632  0.184 -0.816 -0.548
460     0.701  0.869 97.096   -7.166   63.458   17.913  0.000 -1.000 -0.000 -0.797  0.000 -0.604  0.604  0.000 -0.797
461     0.701  0.869 97.064   14.834   26.458  -23.087 -0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000  0.604
462     0.701  0.868 97.055    6.834  -60.542   19.913  0.000 -0.604 -0.797  0.000 -0.797  0.604 -1.000  0.000  0.000
463     0.700  0.868 96.998  -48.166  -37.542   -1.087  0.548  0.548  0.632  0.184 -0.816  0.548  0.816 -0.184 -0.548
464     0.700  0.868 96.997   42.834  -33.542   -3.087 -0.896 -0.362  0.258  0.362 -0.258  0.896 -0.258  0.896  0.362
465     0.700  0.868 96.963   46.834   34.458   16.913 -1.000  0.000  0.000  0.000  0.604 -0.797 -0.000 -0.797 -0.604
466     0.700  0.867 96.913   50.834   30.458   -5.087 -0.797 -0.604  0.000  0.000  0.000 -1.000  0.604 -0.797  0.000
467     0.700  0.867 96.885   16.834  -43.542  -10.087  0.184 -0.548 -0.816  0.548 -0.632  0.548 -0.816 -0.548  0.184
468     0.700  0.867 96.882   14.834   27.458  -24.087 -0.896  0.258 -0.362  0.258 -0.362 -0.896 -0.362 -0.896  0.258
469     0.700  0.867 96.876  -58.166   22.458   20.913  0.184  0.548 -0.816 -0.548 -0.632 -0.548 -0.816  0.548  0.184
470     0.699  0.866 96.777  -60.166   31.458   14.913  0.000  0.000  1.000 -0.604 -0.797  0.000  0.797 -0.604  0.000
471     0.699  0.866 96.765   17.834   26.458  -24.087 -0.797 -0.604  0.000  0.000  0.000 -1.000  0.604 -0.797  0.000
472     0.699  0.866 96.740   -5.166   56.458    9.913 -0.816 -0.184  0.548 -0.548  0.548 -0.632 -0.184 -0.816 -0.548
473     0.699  0.866 96.737   40.834   31.458   22.913 -0.797  0.604  0.000  0.000  0.000 -1.000 -0.604 -0.797  0.000
474     0.699  0.866 96.725  -56.166   16.458   21.913 -0.362  0.258 -0.896  0.258 -0.896 -0.362 -0.896 -0.362  0.258
475     0.699  0.865 96.666  -46.166  -40.542   17.913 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
476     0.699  0.865 96.655   45.834  -30.542   17.913 -0.797 -0.604  0.000  0.000  0.000  1.000 -0.604  0.797  0.000
477     0.699  0.865 96.654   16.834  -53.542   18.913 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
478     0.699  0.865 96.648  -56.166   22.458   15.913 -0.632  0.548 -0.548  0.548 -0.184 -0.816 -0.548 -0.816 -0.184
479     0.699  0.864 96.604  -47.166   24.458   -3.087  0.000 -0.000  1.000  0.604 -0.797  0.000  0.797  0.604  0.000
480     0.698  0.864 96.596   48.834  -11.542   10.913 -0.797  0.604  0.000  0.000  0.000  1.000  0.604  0.797  0.000
481     0.698  0.864 96.592  -14.166   43.458   39.913 -0.548  0.184  0.816 -0.548 -0.816 -0.184  0.632 -0.548  0.548
482     0.698  0.864 96.563   45.834  -11.542   28.913 -0.362  0.258 -0.896  0.258 -0.896 -0.362 -0.896 -0.362  0.258
483     0.698  0.864 96.556  -15.166   55.458    9.913 -0.816  0.548 -0.184 -0.184 -0.548 -0.816 -0.548 -0.632  0.548
484     0.698  0.864 96.538   59.834  -32.542   14.913  0.362  0.258  0.896 -0.258 -0.896  0.362  0.896 -0.362 -0.258
485     0.698  0.864 96.514  -24.166  -20.542  -21.087 -0.548 -0.548  0.632  0.184 -0.816 -0.548  0.816 -0.184  0.548
486     0.698  0.864 96.511   48.834   31.458   16.913 -1.000  0.000  0.000  0.000  0.604 -0.797 -0.000 -0.797 -0.604
487     0.698  0.864 96.509   24.834    5.458  -15.087 -0.816 -0.548  0.184  0.184 -0.548 -0.816  0.548 -0.632  0.548
488     0.698  0.863 96.469    8.834  -30.542   23.913 -0.797  0.000 -0.604 -0.604  0.000  0.797  0.000  1.000  0.000
489     0.698  0.863 96.394   40.834  -31.542   -8.087 -0.548  0.184 -0.816 -0.548 -0.816  0.184 -0.632  0.548  0.548
490     0.698  0.862 96.388   13.834   19.458  -24.087 -0.896 -0.362 -0.258  0.362 -0.258 -0.896  0.258 -0.896  0.362
491     0.697  0.862 96.378   37.834   33.458   29.913 -1.000  0.000  0.000  0.000 -0.000 -1.000 -0.000 -1.000 -0.000
492     0.697  0.861 96.255    1.834  -48.542   13.913 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
493     0.697  0.861 96.246   50.834   35.458   10.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
494     0.697  0.861 96.244   44.834   33.458   14.913 -1.000  0.000  0.000  0.000  0.604 -0.797 -0.000 -0.797 -0.604
495     0.697  0.861 96.240  -55.166   23.458    2.913 -0.632 -0.548 -0.548  0.548  0.184 -0.816  0.548 -0.816  0.184
496     0.697  0.861 96.233    2.834  -58.542    7.913 -0.896 -0.258 -0.362 -0.258 -0.362  0.896 -0.362  0.896  0.258
497     0.697  0.861 96.216   11.834  -60.542   18.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
498     0.696  0.860 96.125   47.834   40.458   11.913 -0.896 -0.362 -0.258  0.362 -0.258 -0.896  0.258 -0.896  0.362
499     0.696  0.860 96.082  -61.166   31.458   13.913 -0.896  0.258 -0.362  0.258 -0.362 -0.896 -0.362 -0.896  0.258
500     0.696  0.860 96.081    0.834   56.458   18.913 -0.816  0.548  0.184  0.184  0.548 -0.816 -0.548 -0.632 -0.548
501     0.696  0.859 96.053  -23.166  -36.542   23.913  0.258  0.362  0.896  0.362 -0.896  0.258  0.896  0.258 -0.362
502     0.696  0.859 96.048   51.834   36.458   13.913 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
503     0.696  0.859 96.045   46.834   31.458    6.913 -0.896  0.362  0.258 -0.362 -0.258 -0.896 -0.258 -0.896  0.362
504     0.696  0.859 96.021  -49.166   14.458   28.913  0.362  0.258  0.896 -0.258 -0.896  0.362  0.896 -0.362 -0.258
505     0.696  0.859 96.019  -59.166   13.458   22.913  0.000  0.604 -0.797 -0.000 -0.797 -0.604 -1.000  0.000  0.000
506     0.696  0.859 96.016   11.834  -27.542  -21.087 -0.797  0.604  0.000  0.000  0.000  1.000  0.604  0.797  0.000
507     0.696  0.859 96.000   49.834   27.458    0.913 -0.816 -0.184 -0.548  0.548 -0.548 -0.632 -0.184 -0.816  0.548
508     0.696  0.859 95.997   49.834  -20.542    1.913 -0.000  0.000 -1.000  0.000 -1.000 -0.000 -1.000  0.000 -0.000
509     0.696  0.859 95.997    3.834  -26.542  -21.087 -0.797  0.000 -0.604 -0.604  0.000  0.797  0.000  1.000  0.000
510     0.696  0.859 95.991    6.834  -24.542  -22.087 -0.797  0.000 -0.604 -0.604  0.000  0.797  0.000  1.000  0.000
511     0.696  0.859 95.983   29.834   38.458   -1.087 -0.896 -0.362  0.258 -0.362  0.258 -0.896  0.258 -0.896 -0.362
512     0.696  0.859 95.971    8.834  -58.542    1.913 -0.184  0.548  0.816  0.548 -0.632  0.548  0.816  0.548 -0.184
513     0.696  0.859 95.966  -51.166   21.458    3.913  0.184  0.548  0.816 -0.548 -0.632  0.548  0.816 -0.548  0.184
514     0.696  0.859 95.955   11.834  -57.542   28.913 -0.184  0.816  0.548  0.816 -0.184  0.548  0.548  0.548 -0.632
515     0.696  0.859 95.955   44.834   40.458   17.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
516     0.696  0.859 95.950  -52.166   14.458    7.913 -0.632 -0.548 -0.548  0.548  0.184 -0.816  0.548 -0.816  0.184
517     0.695  0.858 95.931  -12.166   56.458   29.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
518     0.695  0.858 95.930    2.834  -47.542   24.913  0.000 -0.604 -0.797  0.000 -0.797  0.604 -1.000  0.000  0.000
519     0.695  0.858 95.902   -6.166   29.458  -16.087 -0.632  0.548  0.548 -0.548  0.184 -0.816 -0.548 -0.816  0.184
520     0.695  0.858 95.883   -9.166   31.458  -23.087 -0.896 -0.258  0.362 -0.258 -0.362 -0.896  0.362 -0.896  0.258
521     0.695  0.858 95.869   15.834  -25.542  -20.087 -0.896 -0.258 -0.362 -0.258 -0.362  0.896 -0.362  0.896  0.258
522     0.695  0.858 95.868   16.834  -50.542   11.913  0.362 -0.258 -0.896  0.258 -0.896  0.362 -0.896 -0.362 -0.258
523     0.695  0.858 95.856    5.834  -56.542   -1.087 -0.184  0.548  0.816  0.548 -0.632  0.548  0.816  0.548 -0.184
524     0.695  0.858 95.855    8.834  -44.542   21.913  0.548  0.184 -0.816  0.548 -0.816  0.184 -0.632 -0.548 -0.548
525     0.695  0.857 95.816  -37.166  -19.542   33.913  0.548  0.184  0.816  0.548 -0.816 -0.184  0.632  0.548 -0.548
526     0.695  0.857 95.749   -4.166   68.458   14.913 -0.816  0.184  0.548  0.548  0.548  0.632 -0.184  0.816 -0.548
527     0.694  0.856 95.648  -23.166   32.458  -20.087  0.000  0.000  1.000 -0.604 -0.797  0.000  0.797 -0.604  0.000
528     0.694  0.856 95.621    8.834  -60.542   -1.087 -0.816  0.548 -0.184 -0.184 -0.548 -0.816 -0.548 -0.632  0.548
529     0.694  0.856 95.609   52.834  -12.542   14.913  0.548  0.184  0.816  0.548 -0.816 -0.184  0.632  0.548 -0.548
530     0.694  0.856 95.608   46.834   40.458   10.913  0.362  0.258 -0.896 -0.258 -0.896 -0.362 -0.896  0.362 -0.258
531     0.694  0.855 95.585   52.834  -18.542    8.913 -0.258  0.362 -0.896 -0.362 -0.896 -0.258 -0.896  0.258  0.362
532     0.694  0.855 95.565   28.834  -12.542  -21.087 -0.797  0.000 -0.604 -0.604  0.000  0.797  0.000  1.000  0.000
533     0.694  0.855 95.539   46.834   33.458    8.913 -0.362 -0.258 -0.896 -0.258 -0.896  0.362 -0.896  0.362  0.258
534     0.694  0.855 95.522    1.834   24.458  -18.087 -0.816  0.184  0.548 -0.548 -0.548 -0.632  0.184 -0.816  0.548
535     0.693  0.855 95.501   50.834   30.458    4.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
536     0.693  0.854 95.465   56.834  -28.542    7.913  0.362  0.258  0.896 -0.258 -0.896  0.362  0.896 -0.362 -0.258
537     0.693  0.854 95.462   -9.166  -44.542   21.913  0.000 -0.604 -0.797  0.000 -0.797  0.604 -1.000  0.000  0.000
538     0.693  0.854 95.457    1.834  -57.542   17.913 -0.184  0.548  0.816  0.548 -0.632  0.548  0.816  0.548 -0.184
539     0.693  0.854 95.443  -49.166   30.458    4.913  0.604  0.000  0.797  0.000 -1.000  0.000  0.797  0.000 -0.604
540     0.693  0.854 95.424  -10.166   51.458    9.913  0.362 -0.258  0.896  0.258 -0.896 -0.362  0.896  0.362 -0.258
541     0.693  0.854 95.415   47.834  -28.542    1.913 -0.896 -0.362 -0.258 -0.362  0.258  0.896 -0.258  0.896 -0.362
542     0.693  0.854 95.412  -42.166   21.458   29.913 -0.896  0.258  0.362 -0.258  0.362 -0.896 -0.362 -0.896 -0.258
543     0.693  0.853 95.380   42.834  -29.542    8.913 -0.604  0.000 -0.797  0.000 -1.000 -0.000 -0.797  0.000  0.604
544     0.693  0.853 95.363  -26.166  -13.542   35.913 -0.816 -0.548  0.184 -0.184  0.548  0.816 -0.548  0.632 -0.548
545     0.693  0.853 95.320  -56.166   16.458   27.913  0.548  0.548  0.632  0.184 -0.816  0.548  0.816 -0.184 -0.548
546     0.692  0.853 95.294  -44.166  -40.542   13.913 -0.184  0.548  0.816  0.548 -0.632  0.548  0.816  0.548 -0.184
547     0.692  0.853 95.284  -57.166   29.458    6.913  0.548 -0.184  0.816 -0.548 -0.816  0.184  0.632 -0.548 -0.548
548     0.692  0.852 95.270   38.834  -35.542    7.913 -0.362  0.258 -0.896  0.258 -0.896 -0.362 -0.896 -0.362  0.258
549     0.692  0.852 95.259   -5.166   53.458   12.913 -0.184 -0.548  0.816 -0.548 -0.632 -0.548  0.816 -0.548 -0.184
550     0.692  0.852 95.244   50.834   30.458    1.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
551     0.692  0.852 95.221   45.834  -28.542    1.913 -0.632 -0.548 -0.548  0.548  0.184 -0.816  0.548 -0.816  0.184
552     0.692  0.852 95.206   -1.166  -53.542   32.913  0.548  0.548  0.632  0.184 -0.816  0.548  0.816 -0.184 -0.548
553     0.692  0.852 95.166  -34.166   41.458   -5.087 -0.632 -0.548  0.548 -0.548 -0.184 -0.816  0.548 -0.816 -0.184
554     0.692  0.851 95.132   -6.166   26.458   44.913 -0.816  0.184  0.548 -0.548 -0.548 -0.632  0.184 -0.816  0.548
555     0.692  0.851 95.120   40.834   29.458    1.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
556     0.692  0.851 95.109  -61.166   28.458   11.913 -0.258  0.362 -0.896 -0.362 -0.896 -0.258 -0.896  0.258  0.362
557     0.692  0.851 95.099  -19.166   52.458   22.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
558     0.692  0.851 95.094   41.834   42.458   17.913 -1.000  0.000  0.000  0.000 -0.000 -1.000 -0.000 -1.000 -0.000
559     0.691  0.851 95.080   12.834  -48.542   17.913 -0.184  0.548  0.816  0.548 -0.632  0.548  0.816  0.548 -0.184
