#rank      cc Fish-z  rel-z        x        y        z    a11    a12    a13    a21    a22    a23    a31    a32    a33
70      0.799  1.096 122.437  -11.166   55.458    3.913  0.548 -0.548  0.632 -0.184 -0.816 -0.548  0.816  0.184 -0.548
71      0.798  1.093 122.175  -34.166  -29.542   30.913 -0.816  0.548  0.184 -0.184 -0.548  0.816  0.548  0.632  0.548
72      0.797  1.091 121.972  -50.166  -37.542    8.913 -0.816  0.184  0.548  0.548  0.548  0.632 -0.184  0.816 -0.548
73      0.796  1.087 121.506   54.834  -29.542    7.913 -0.604  0.000 -0.797  0.000 -1.000 -0.000 -0.797  0.000  0.604
74      0.794  1.082 120.896   48.834  -28.542   -0.087 -0.548 -0.184 -0.816  0.548 -0.816 -0.184 -0.632 -0.548  0.548
75      0.794  1.081 120.836   42.834   35.458   17.913 -1.000  0.000  0.000  0.000  0.604 -0.797 -0.000 -0.797 -0.604
76      0.794  1.081 120.806   51.834  -20.542   16.913  0.258  0.362 -0.896  0.362 -0.896 -0.258 -0.896 -0.258 -0.362
77      0.793  1.078 120.514   36.834   41.458   24.913 -0.797  0.604  0.000  0.000  0.000 -1.000 -0.604 -0.797  0.000
78      0.792  1.076 120.222  -37.166  -40.542   13.913  0.362 -0.258  0.896  0.258 -0.896 -0.362  0.896  0.362 -0.258
79      0.791  1.075 120.132    4.834  -48.542   38.913 -1.000  0.000  0.000  0.000 -0.604  0.797  0.000  0.797  0.604
80      0.790  1.072 119.775  -16.166   47.458   -8.087 -0.632 -0.548 -0.548  0.548  0.184 -0.816  0.548 -0.816  0.184
81      0.789  1.069 119.491   49.834   36.458    5.913 -0.816 -0.548 -0.184 -0.184  0.548 -0.816  0.548 -0.632 -0.548
82      0.788  1.067 119.216   20.834   24.458  -29.087 -0.896 -0.362 -0.258  0.362 -0.258 -0.896  0.258 -0.896  0.362
83      0.787  1.064 118.879  -53.166   30.458    6.913 -0.797  0.000  0.604 -0.604  0.000 -0.797  0.000 -1.000  0.000
84      0.787  1.063 118.782  -27.166  -35.542   15.913 -0.816 -0.548  0.184 -0.184  0.548  0.816 -0.548  0.632 -0.548
85      0.786  1.061 118.598  -57.166  -38.542   12.913  0.000 -0.604 -0.797  0.000 -0.797  0.604 -1.000  0.000  0.000
86      0.786  1.061 118.581  -47.166   30.458   -3.087 -0.548  0.184  0.816 -0.548 -0.816 -0.184  0.632 -0.548  0.548
87      0.786  1.061 118.576   35.834   30.458   20.913 -0.816  0.548  0.184  0.184  0.548 -0.816 -0.548 -0.632 -0.548
88      0.786  1.060 118.449   56.834  -25.542    5.913 -0.258  0.362 -0.896 -0.362 -0.896 -0.258 -0.896  0.258  0.362
89      0.786  1.060 118.420  -30.166   16.458    7.913  1.000  0.000  0.000  0.000  1.000  0.000  0.000  0.000  1.000
90      0.784  1.056 118.059   -3.166   60.458    3.913 -0.896 -0.362  0.258 -0.362  0.258 -0.896  0.258 -0.896 -0.362
91      0.784  1.056 117.987  -43.166  -39.542   28.913  0.548 -0.184  0.816 -0.548 -0.816  0.184  0.632 -0.548 -0.548
92      0.784  1.055 117.916   55.834  -12.542    8.913 -0.184  0.548 -0.816  0.548 -0.632 -0.548 -0.816 -0.548 -0.184
93      0.783  1.053 117.673  -48.166   21.458   25.913  0.362  0.258  0.896 -0.258 -0.896  0.362  0.896 -0.362 -0.258
94      0.782  1.050 117.383   37.834  -20.542   29.913 -0.896  0.258 -0.362 -0.258  0.362  0.896  0.362  0.896 -0.258
